enviroment, gi, w, q, x, y
Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,1000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999974, 0.999784, 0.99894, 0.982378, 0.941382, 0.816512, 0.682676, 0.515884, 0.21836, 0.107248, 0.033408, 0.012778, 0.003194, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,1000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 0.999978, 0.999656, 0.998518, 0.99337, 0.938312, 0.844486, 0.640214, 0.47555, 0.31144, 0.097506, 0.039198, 0.009974, 0.003236, 0.000612, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,2000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999974, 0.999728, 0.997148, 0.98981, 0.967774, 0.834108, 0.640422, 0.341728, 0.189068, 0.069214, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,2000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 0.999998, 1.0, 0.999826, 0.99868, 0.990176, 0.97038, 0.922908, 0.713082, 0.507318, 0.24868, 0.129802, 0.044036, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,2000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 0.999998, 0.99996, 0.998352, 0.991122, 0.955934, 0.896958, 0.791242, 0.488882, 0.30153, 0.125884, 0.05821, 0.01755, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,2000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.99999, 0.999942, 0.999546, 0.990732, 0.964862, 0.872732, 0.761178, 0.605284, 0.289992, 0.152894, 0.05244, 0.021052, 0.005574, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,2000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 0.999994, 0.999876, 0.999402, 0.996924, 0.963456, 0.894836, 0.724512, 0.57007, 0.39711, 0.142538, 0.062968, 0.017552, 0.006044, 0.001416, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,4000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999992, 0.999906, 0.998846, 0.995092, 0.982368, 0.888328, 0.707508, 0.390444, 0.22337, 0.084268, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,4000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99995, 0.999518, 0.995172, 0.983742, 0.953466, 0.790454, 0.588096, 0.304208, 0.16529, 0.058678, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,4000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999998, 1.0, 0.999984, 0.999198, 0.995832, 0.974514, 0.935956, 0.855596, 0.582488, 0.383804, 0.171936, 0.083856, 0.02653, 0.0, 0.0, 0.0, 0.0, 0.0]"

